Error, 2021-09-27T17:14:05.4728427+05:30, 24, GetDBSchema, Query: entUserRoles.LoadUserRoleIDByUser not found.
Error, 2021-09-27T17:14:05.4759750+05:30, 44, GetDBSchema, Query: entResources.ResourceIDCount not found.
Error, 2021-09-27T17:14:05.4724160+05:30, 45, GetDBSchema, Query: entFwkMessages.GetCountByMessageID not found.
Error, 2021-09-27T17:14:05.4725980+05:30, 47, GetDBSchema, Query: entRoles.RoleExists not found.
Error, 2021-09-27T17:14:05.4813519+05:30, 24, GetDBSchema, Query: entMessages.MessageIdExists not found.
Error, 2021-09-27T17:14:05.4802293+05:30, 44, GetDBSchema, Query: entFileHdr.CountByFileId not found.
Error, 2021-09-27T17:14:05.4886462+05:30, 45, GetDBSchema, Query: entCodeValue.Count not found.
Error, 2021-09-27T17:14:05.4896578+05:30, 24, GetDBSchema, Query: entCode.DoesCodeIDExist not found.
Error, 2021-09-27T17:14:05.4910274+05:30, 45, GetDBSchema, Query: entCodeValue.CodeValuesExistsNew not found.
Error, 2021-09-27T17:14:05.4936226+05:30, 24, GetDBSchema, Query: entCode.CodeIDExists not found.
Error, 2021-09-27T17:14:05.4971029+05:30, 44, GetDBSchema, Query: entCommTmplAutoEnclrXr.GetAutoEnclosureTemplate not found.
Error, 2021-09-27T17:14:05.4960987+05:30, 45, GetDBSchema, Query: entCodeValue.CodeValueExistsUpdate not found.
Error, 2021-09-27T17:14:05.4864375+05:30, 47, GetDBSchema, Query: entRoles.CountByDescNew not found.
Error, 2021-09-27T17:14:05.4728125+05:30, 50, GetDBSchema, Query: entUser.UserIDExists not found.
Error, 2021-09-27T17:14:05.5059999+05:30, 47, GetDBSchema, Query: entRoles.CountByDescUpdate not found.
